Item Level (enter Parent or Child - default is Parent),*Item Name,*Category,Subcategory,Description,Manufacturer,Code,Supplier,Supplier SKU,Weight (e.g. 5.0 - default is 0),"Pricing Type (enter Flat Fee or Fixed Per Unit - default is Fixed Per Unit),",*USD Price (e.g. 1000.00),USD Cost (in dollars or percentage),USD Cost Type (enter dollars or percent - default is dollars),Recurring (enter No/Monthly/Quarterly/Annually - default is No),Allow Decimal Quantities (enter Yes or No - default is No),Taxable Item (enter Yes or No - default is Yes)
Parent,LED Ai Interactive Wall - Hardware/Labor - Package,AI,Wall-Interactive,LED Ai Interactive Wall - Hardware/Labor - Package,,AI-LED-HW,,,0,,999,,Dollars,No,No,No
Parent,LED Ai Interactive Wall - Software/Touchscreen - Package,AI,Wall-Interactive,LED Ai Interactive Wall - Software/Touchscreen - Package,,AI-LED-SW,,,0,,999,,Dollars,No,No,No
Parent,LED Ai Interactive Wall - Technician Labor - Day Rate for 3 people,AI,Wall-Interactive,LED Ai Interactive Wall - Technician Labor - Day Rate for 3 people,,AI-LED-TEC,,,0,,999,,Dollars,No,No,No
Parent,Printing for Show,BRANDING,Printing,Printing for TDX,,BRD-SHW-001,,,0,,999,,Dollars,No,No,No
Parent,Low Lying Fog,CO2,LLF,Low Lying Fog,,FOG-LLF,,,0,,500,,Dollars,No,No,No
Parent,Silent Storm Confetti Blowers,CONFETTI,Blowers,Silent Storm Confetti Blowers - Standard Version,,CNF-BLW-SS,,,0,,999,,Dollars,No,No,No
Parent,Silent Storm Confetti Blowers,CONFETTI,Blowers,Silent Storm Confetti Blowers - Taller Version,,CNF-BLW-SST,,,0,,1299,,Dollars,No,No,No
Parent,Attendee Behavioural Data Analysis Capture,DATA,Behavioural,"A privacy-conscious analytics solution that uses advanced visual sensing technology and AI to interpret audience mood, engagement, and demographic trends in real time—without collecting or storing any personal data. Ideal for brand activations, live presentations, trade shows, experiential marketing, digital signage, and retail environments, this system empowers teams to understand how people react to content and experiences as they happen.",,DAT-BEH-ANA,,,0,,5999,,Dollars,No,No,No
Parent,Equipment Damage,EQUIPMENT,Damage,Estimated damage to equipment,,EQP-RPR-DMG,,,0,,99,,Dollars,No,No,No
Parent,Onsite Laserjet Printer,EQUIPMENT,Printer,Onsite Laserjet Printer,,EQP-LSR-ONS,,,0,,299,,Dollars,No,No,No
Parent,Equipment Support,EQUIPMENT,Support,Equipment Support,,SVC-EQP-SUP,,,0,,299,,Dollars,No,No,No
Parent,Event Technology Package,EVENT,Package,Event Technology Package,,PKG-EVT,,,0,,9999,,Dollars,No,No,No
